iter	Passed	Remaining
294	13288	31757
295	13315	31668
296	13343	31583
297	13371	31499
298	13399	31414
299	13425	31326
300	13451	31237
301	13478	31151
302	13504	31065
303	13533	30984
304	13561	30901
305	13588	30817
306	13616	30736
307	13642	30651
308	13671	30573
309	13698	30490
310	13727	30412
311	13764	30351
312	13798	30285
313	13826	30207
314	13855	30130
315	13882	30049
316	13909	29968
317	13933	29883
318	13959	29801
319	13988	29725
320	14015	29646
321	14043	29569
322	14069	29488
323	14098	29415
324	14125	29338
325	14154	29264
326	14183	29190
327	14210	29114
328	14238	29038
329	14266	28965
330	14302	28908
331	14329	28831
332	14357	28757
333	14385	28684
334	14413	28612
335	14438	28532
336	14466	28459
337	14523	28446
338	14602	28472
339	14654	28447
340	14730	28468
341	14765	28408
342	14797	28342
343	14830	28281
344	14868	28228
345	14900	28164
346	14928	28092
347	14962	28033
348	14996	27973
349	15026	27906
350	15054	27836
351	15079	27759
352	15108	27692
353	15137	27623
354	15257	27720
355	15362	27790
356	15432	27796
357	15476	27754
358	15507	27688
359	15535	27618
360	15563	27548
361	15591	27479
362	15622	27414
363	15652	27349
364	15681	27281
365	15713	27219
366	15772	27204
367	15851	27223
368	15905	27198
369	15958	27173
370	16070	27246
371	16135	27239
372	16233	27287
373	16290	27266
374	16336	27226
375	16383	27190
376	16436	27161
377	16471	27103
378	16502	27040
379	16620	27117
380	16681	27102
381	16778	27143
382	16819	27095
383	16859	27045
